name,Var2,zstep_source
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_139.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_140.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_141.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_142.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_143.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_144.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_145.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_146.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_147.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_148.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_149.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_150.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_151.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_152.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_153.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_154.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_155.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_156.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_157.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_158.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_159.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_160.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_161.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_162.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_163.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_164.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_165.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_166.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_167.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_168.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_169.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_170.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_171.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_172.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_173.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_174.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_175.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_176.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_177.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_178.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_179.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_180.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_181.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_182.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_183.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_184.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_185.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_186.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_187.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_188.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_189.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_190.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_191.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_192.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_193.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_194.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_195.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_196.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_197.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_198.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_199.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_200.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_201.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_202.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_203.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_204.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_205.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_206.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_207.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_208.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_209.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_210.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_211.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_212.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_213.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_214.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_215.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_216.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_217.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_218.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_219.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_220.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_221.mat,300,default_300nm
